LGA,NON_EV_COUNT
FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINCORPO,189.0
BULOKE SHIRE,6080.0
WEST WIMMERA SHIRE,4811.0
HINDMARSH SHIRE,3929.0
SWAN HILL RURAL CITY,10350.0
YARRIAMBIACK SHIRE,6234.0
GANNAWARRA SHIRE,6001.0
CORANGAMITE SHIRE,9392.0
LODDON SHIRE,9719.0
GLENELG SHIRE,7415.0
MOYNE SHIRE,13914.0
SOUTHERN GRAMPIANS SHIRE,8009.0
TOWONG SHIRE,5578.0
NORTHERN GRAMPIANS SHIRE,6401.0
ARARAT RURAL CITY,5543.0
MOIRA SHIRE,14734.0
CAMPASPE SHIRE,16207.0
PYRENEES SHIRE,7192.0
MILDURA RURAL CITY,14430.0
EAST GIPPSLAND SHIRE,19381.0
CENTRAL GOLDFIELDS SHIRE,4198.0
WELLINGTON SHIRE,18637.0
BENALLA RURAL CITY,6482.0
COLAC OTWAY SHIRE,9869.0
MANSFIELD SHIRE,6229.0
GOLDEN PLAINS SHIRE,10450.0
HORSHAM RURAL CITY,5279.0
WANGARATTA RURAL CITY,9519.0
GREATER SHEPPARTON CITY,16824.0
SOUTH GIPPSLAND SHIRE,16002.0
STRATHBOGIE SHIRE,7192.0
MURRINDINDI SHIRE,10407.0
FALLS CREEK ALPINE RESORT (UNINCORPORATED),25.0
BAW BAW SHIRE,19292.0
LATROBE CITY,10055.0
INDIGO SHIRE,8795.0
WODONGA CITY,5700.0
MITCHELL SHIRE,12785.0
ALPINE SHIRE,16493.0
MOORABOOL SHIRE,9242.0
MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED),66.0
GREATER BENDIGO CITY,16726.0
MACEDON RANGES SHIRE,16081.0
BASS COAST SHIRE,12266.0
MOUNT ALEXANDER SHIRE,8540.0
HEPBURN SHIRE,7270.0
CARDINIA SHIRE,22501.0
WARRNAMBOOL CITY,3769.0
BALLARAT CITY,13584.0
YARRA RANGES SHIRE,36043.0
FRANKSTON CITY,14116.0
SURF COAST SHIRE,13722.0
GREATER GEELONG CITY,34825.0
HUME CITY,22457.0
MELTON CITY,16999.0
MORNINGTON PENINSULA SHIRE,35803.0
NILLUMBIK SHIRE,14725.0
BRIMBANK CITY,17862.0
CASEY CITY,26569.0
KNOX CITY,15719.0
HOBSONS BAY CITY,11740.0
QUEENSCLIFFE BOROUGH,253.0
WYNDHAM CITY,14946.0
KINGSTON CITY,19444.0
MAROONDAH CITY,10120.0
MOONEE VALLEY CITY,12729.0
BANYULE CITY,14414.0
WHITTLESEA CITY,21131.0
GREATER DANDENONG CITY,14677.0
MERRI-BEK CITY,16214.0
MANNINGHAM CITY,16256.0
MARIBYRNONG CITY,9327.0
DAREBIN CITY,13197.0
PORT PHILLIP CITY,12300.0
WHITEHORSE CITY,17377.0
BAYSIDE CITY,12432.0
MONASH CITY,17494.0
GLEN EIRA CITY,13589.0
BOROONDARA CITY,18818.0
YARRA CITY,11810.0
STONNINGTON CITY,11671.0
MELBOURNE CITY,20120.0
