LGA,MEDIAN_INCOME,EV_PROPORTION
BULOKE SHIRE,29900,6e-4
WEST WIMMERA SHIRE,37700,8e-4
HINDMARSH SHIRE,37700,8e-4
SWAN HILL RURAL CITY,37700,0.0012
YARRIAMBIACK SHIRE,29900,0.0013
GANNAWARRA SHIRE,29900,0.0015
CORANGAMITE SHIRE,37700,0.002
GLENELG SHIRE,29900,0.0023
LODDON SHIRE,29900,0.0023
MOYNE SHIRE,37700,0.0024
SOUTHERN GRAMPIANS SHIRE,37700,0.0025
TOWONG SHIRE,37700,0.0025
NORTHERN GRAMPIANS SHIRE,37700,0.0026
ARARAT RURAL CITY,37700,0.0026
MOIRA SHIRE,29900,0.0027
CAMPASPE SHIRE,37700,0.0029
PYRENEES SHIRE,29900,0.0029
MILDURA RURAL CITY,37700,0.003
EAST GIPPSLAND SHIRE,29900,0.0033
CENTRAL GOLDFIELDS SHIRE,29900,0.0036
WELLINGTON SHIRE,37700,0.0038
BENALLA RURAL CITY,37700,0.0039
COLAC OTWAY SHIRE,37700,0.004
MANSFIELD SHIRE,37700,0.004
GOLDEN PLAINS SHIRE,37700,0.004
HORSHAM RURAL CITY,37700,0.0042
WANGARATTA RURAL CITY,37700,0.0043
GREATER SHEPPARTON CITY,37700,0.0045
SOUTH GIPPSLAND SHIRE,37700,0.0045
STRATHBOGIE SHIRE,37700,0.0045
MURRINDINDI SHIRE,37700,0.0045
BAW BAW SHIRE,37700,0.0052
LATROBE CITY,37700,0.0055
INDIGO SHIRE,37700,0.0056
WODONGA CITY,46800,0.0059
MITCHELL SHIRE,37700,0.006
ALPINE SHIRE,37700,0.0061
MOORABOOL SHIRE,46800,0.0063
GREATER BENDIGO CITY,37700,0.0074
MACEDON RANGES SHIRE,46800,0.0074
BASS COAST SHIRE,29900,0.0074
MOUNT ALEXANDER SHIRE,37700,0.0082
HEPBURN SHIRE,37700,0.0082
CARDINIA SHIRE,46800,0.0085
WARRNAMBOOL CITY,37700,0.0088
BALLARAT CITY,37700,0.0091
YARRA RANGES SHIRE,46800,0.0096
FRANKSTON CITY,46800,0.0101
SURF COAST SHIRE,46800,0.0105
GREATER GEELONG CITY,37700,0.0108
HUME CITY,37700,0.0117
MELTON CITY,37700,0.0121
MORNINGTON PENINSULA SHIRE,37700,0.0131
NILLUMBIK SHIRE,46800,0.0132
BRIMBANK CITY,29900,0.0138
CASEY CITY,37700,0.0142
KNOX CITY,46800,0.0144
HOBSONS BAY CITY,46800,0.0145
QUEENSCLIFFE BOROUGH,46800,0.015
WYNDHAM CITY,46800,0.0151
KINGSTON CITY,46800,0.0155
MAROONDAH CITY,46800,0.0163
MOONEE VALLEY CITY,46800,0.0164
BANYULE CITY,46800,0.0164
WHITTLESEA CITY,37700,0.0165
GREATER DANDENONG CITY,29900,0.0169
MERRI-BEK CITY,46800,0.0172
MANNINGHAM CITY,37700,0.0178
MARIBYRNONG CITY,46800,0.0178
DAREBIN CITY,46800,0.0198
PORT PHILLIP CITY,71500,0.0199
WHITEHORSE CITY,37700,0.0205
BAYSIDE CITY,58500,0.0209
MONASH CITY,37700,0.0211
GLEN EIRA CITY,58500,0.0211
BOROONDARA CITY,58500,0.024
YARRA CITY,71500,0.0241
STONNINGTON CITY,71500,0.0249
MELBOURNE CITY,46800,0.0255
